,County Names,Month,Sample Measurement,Latitude,Longitude,FIPS,PM2.5 Values 2012
17562,Butte,5,7.2,39.76168,-121.84047,06007,7.2
17563,Butte,5,8,39.757371,-121.843286,06007,8.0
17564,Butte,4,5.2,39.757371,-121.843286,06007,5.2
17565,Butte,7,9.1,39.76168,-121.84047,06007,9.1
17566,Butte,7,4.1,39.76168,-121.84047,06007,4.1
17567,Butte,7,4.8,39.76168,-121.84047,06007,4.8
17568,Butte,7,4.6,39.757371,-121.843286,06007,4.6
17569,Butte,8,6.6,39.76168,-121.84047,06007,6.6
17570,Butte,2,17.4,39.757371,-121.843286,06007,17.4
17571,Butte,6,4.2,39.76168,-121.84047,06007,4.2
17572,Butte,6,3.8,39.757371,-121.843286,06007,3.8
17573,Butte,8,8.3,39.76168,-121.84047,06007,8.3
17574,Butte,9,6.6,39.76168,-121.84047,06007,6.6
17575,Butte,5,2.4,39.76168,-121.84047,06007,2.4
17576,Butte,6,3.1,39.76168,-121.84047,06007,3.1
17577,Butte,6,4.5,39.757371,-121.843286,06007,4.5
17578,Butte,1,11.3,39.757371,-121.843286,06007,11.3
17579,Butte,1,28.6,39.757371,-121.843286,06007,28.6
17580,Butte,4,10.8,39.757371,-121.843286,06007,10.8
17581,Butte,3,3,39.757371,-121.843286,06007,3.0
17582,Butte,5,7.5,39.76168,-121.84047,06007,7.5
17583,Butte,5,7.3,39.757371,-121.843286,06007,7.3
17584,Butte,2,5.5,39.757371,-121.843286,06007,5.5
17585,Butte,5,8,39.76168,-121.84047,06007,8.0
17586,Butte,5,7.9,39.757371,-121.843286,06007,7.9
17587,Butte,7,6.5,39.76168,-121.84047,06007,6.5
17588,Butte,6,2.4,39.76168,-121.84047,06007,2.4
17589,Butte,6,2.6,39.757371,-121.843286,06007,2.6
17590,Butte,1,24.6,39.757371,-121.843286,06007,24.6
17591,Butte,4,1,39.757371,-121.843286,06007,1.0
17592,Butte,3,7.4,39.757371,-121.843286,06007,7.4
17593,Butte,3,5.3,39.757371,-121.843286,06007,5.3
17594,Butte,2,9.5,39.757371,-121.843286,06007,9.5
17595,Butte,6,2.5,39.76168,-121.84047,06007,2.5
17596,Butte,6,3.5,39.757371,-121.843286,06007,3.5
17597,Butte,2,8.2,39.757371,-121.843286,06007,8.2
17598,Butte,6,2.2,39.76168,-121.84047,06007,2.2
17599,Butte,8,10.7,39.76168,-121.84047,06007,10.7
17600,Butte,6,6.3,39.757371,-121.843286,06007,6.3
17601,Butte,4,4.1,39.757371,-121.843286,06007,4.1
17602,Butte,8,9.9,39.76168,-121.84047,06007,9.9
17603,Butte,9,7.3,39.76168,-121.84047,06007,7.3
17604,Butte,9,9,39.76168,-121.84047,06007,9.0
17605,Butte,4,4.8,39.757371,-121.843286,06007,4.8
17606,Butte,5,4.6,39.76168,-121.84047,06007,4.6
17607,Butte,5,4.6,39.757371,-121.843286,06007,4.6
17608,Butte,3,1,39.757371,-121.843286,06007,1.0
17609,Butte,2,9.3,39.757371,-121.843286,06007,9.3
17610,Butte,9,7.7,39.76168,-121.84047,06007,7.7
17611,Butte,8,9.8,39.76168,-121.84047,06007,9.8
17612,Butte,1,4.9,39.757371,-121.843286,06007,4.9
17613,Butte,1,26.3,39.757371,-121.843286,06007,26.3
17614,Butte,5,3.3,39.757371,-121.843286,06007,3.3
17615,Butte,8,8,39.76168,-121.84047,06007,8.0
17616,Butte,1,17,39.757371,-121.843286,06007,17.0
17617,Butte,7,7.3,39.76168,-121.84047,06007,7.3
17618,Butte,3,8.2,39.757371,-121.843286,06007,8.2
17619,Butte,10,1,39.76168,-121.84047,06007,1.0
17620,Butte,10,6.9,39.76168,-121.84047,06007,6.9
17621,Butte,10,8,39.76168,-121.84047,06007,8.0
17622,Butte,10,8.9,39.76168,-121.84047,06007,8.9
17623,Butte,10,4.8,39.76168,-121.84047,06007,4.8
