,County Names,Month,Sample Measurement,Latitude,Longitude,FIPS,PM2.5 Values 2014
33405,Butte,1,16,39.76168,-121.84047,06007,16.0
33406,Butte,2,7.4,39.76168,-121.84047,06007,7.4
33407,Butte,5,5.8,39.76168,-121.84047,06007,5.8
33408,Butte,9,14.1,39.76168,-121.84047,06007,14.1
33409,Butte,10,10.2,39.76168,-121.84047,06007,10.2
33410,Butte,11,11.8,39.76168,-121.84047,06007,11.8
33411,Butte,11,21.8,39.76168,-121.84047,06007,21.8
33412,Butte,12,6.3,39.76168,-121.84047,06007,6.3
33413,Butte,1,58.6,39.76168,-121.84047,06007,58.6
33414,Butte,12,2.8,39.76168,-121.84047,06007,2.8
33415,Butte,6,14.5,39.76168,-121.84047,06007,14.5
33416,Butte,8,8,39.76168,-121.84047,06007,8.0
33417,Butte,7,10,39.76168,-121.84047,06007,10.0
33418,Butte,2,4.3,39.76168,-121.84047,06007,4.3
33419,Butte,11,15.8,39.76168,-121.84047,06007,15.8
33420,Butte,2,8.9,39.76168,-121.84047,06007,8.9
33421,Butte,2,6,39.76168,-121.84047,06007,6.0
33422,Butte,5,4.8,39.76168,-121.84047,06007,4.8
33423,Butte,11,9.7,39.76168,-121.84047,06007,9.7
33424,Butte,8,15.8,39.76168,-121.84047,06007,15.8
33425,Butte,3,3.3,39.76168,-121.84047,06007,3.3
33426,Butte,6,9.8,39.76168,-121.84047,06007,9.8
33427,Butte,7,26.8,39.76168,-121.84047,06007,26.8
33428,Butte,2,7.1,39.76168,-121.84047,06007,7.1
33429,Butte,11,18.3,39.76168,-121.84047,06007,18.3
33430,Butte,10,5.6,39.76168,-121.84047,06007,5.6
33431,Butte,8,6.8,39.76168,-121.84047,06007,6.8
33432,Butte,6,3.3,39.76168,-121.84047,06007,3.3
33433,Butte,11,5.8,39.76168,-121.84047,06007,5.8
33434,Butte,8,22,39.76168,-121.84047,06007,22.0
33435,Butte,1,14.8,39.76168,-121.84047,06007,14.8
33436,Butte,12,3.8,39.76168,-121.84047,06007,3.8
33437,Butte,4,2.6,39.76168,-121.84047,06007,2.6
33438,Butte,3,4.5,39.76168,-121.84047,06007,4.5
33439,Butte,11,27.5,39.76168,-121.84047,06007,27.5
33440,Butte,5,11.7,39.76168,-121.84047,06007,11.7
33441,Butte,3,2.1,39.76168,-121.84047,06007,2.1
33442,Butte,5,2,39.76168,-121.84047,06007,2.0
33443,Butte,12,2.4,39.76168,-121.84047,06007,2.4
33444,Butte,7,6.7,39.76168,-121.84047,06007,6.7
33445,Butte,3,2.2,39.76168,-121.84047,06007,2.2
33446,Butte,8,10.5,39.76168,-121.84047,06007,10.5
33447,Butte,8,7.3,39.76168,-121.84047,06007,7.3
33448,Butte,2,9.6,39.76168,-121.84047,06007,9.6
33449,Butte,3,6.1,39.76168,-121.84047,06007,6.1
33450,Butte,11,2.7,39.76168,-121.84047,06007,2.7
33451,Butte,4,6.8,39.76168,-121.84047,06007,6.8
33452,Butte,5,8,39.76168,-121.84047,06007,8.0
33453,Butte,8,8.2,39.76168,-121.84047,06007,8.2
33454,Butte,1,23.1,39.76168,-121.84047,06007,23.1
33455,Butte,11,25.3,39.76168,-121.84047,06007,25.3
33456,Butte,2,7.8,39.76168,-121.84047,06007,7.8
33457,Butte,3,4.6,39.76168,-121.84047,06007,4.6
33458,Butte,9,10.2,39.76168,-121.84047,06007,10.2
33459,Butte,4,10.7,39.76168,-121.84047,06007,10.7
33460,Butte,3,2.5,39.76168,-121.84047,06007,2.5
33461,Butte,5,2.9,39.76168,-121.84047,06007,2.9
33462,Butte,4,8.6,39.76168,-121.84047,06007,8.6
33463,Butte,8,6.1,39.76168,-121.84047,06007,6.1
33464,Butte,6,11.7,39.76168,-121.84047,06007,11.7
33465,Butte,8,6.5,39.76168,-121.84047,06007,6.5
33466,Butte,5,10.3,39.76168,-121.84047,06007,10.3
33467,Butte,5,8.8,39.76168,-121.84047,06007,8.8
33468,Butte,10,13.1,39.76168,-121.84047,06007,13.1
33469,Butte,3,6.7,39.76168,-121.84047,06007,6.7
33470,Butte,10,6.5,39.76168,-121.84047,06007,6.5
33471,Butte,7,10.4,39.76168,-121.84047,06007,10.4
33472,Butte,9,7.4,39.76168,-121.84047,06007,7.4
33473,Butte,7,4.7,39.76168,-121.84047,06007,4.7
33474,Butte,3,4.5,39.76168,-121.84047,06007,4.5
33475,Butte,2,5.3,39.76168,-121.84047,06007,5.3
33476,Butte,10,6.1,39.76168,-121.84047,06007,6.1
33477,Butte,9,10.2,39.76168,-121.84047,06007,10.2
33478,Butte,9,5.9,39.76168,-121.84047,06007,5.9
33479,Butte,5,10.4,39.76168,-121.84047,06007,10.4
33480,Butte,1,32.5,39.76168,-121.84047,06007,32.5
33481,Butte,8,6.1,39.76168,-121.84047,06007,6.1
33482,Butte,11,9.9,39.76168,-121.84047,06007,9.9
33483,Butte,12,9.2,39.76168,-121.84047,06007,9.2
33484,Butte,7,3.8,39.76168,-121.84047,06007,3.8
33485,Butte,3,1,39.76168,-121.84047,06007,1.0
33486,Butte,1,18.3,39.76168,-121.84047,06007,18.3
33487,Butte,10,5.9,39.76168,-121.84047,06007,5.9
33488,Butte,12,19.1,39.76168,-121.84047,06007,19.1
33489,Butte,12,13.5,39.76168,-121.84047,06007,13.5
33490,Butte,4,6.5,39.76168,-121.84047,06007,6.5
33491,Butte,7,5.4,39.76168,-121.84047,06007,5.4
33492,Butte,9,26,39.76168,-121.84047,06007,26.0
33493,Butte,4,5.1,39.76168,-121.84047,06007,5.1
33494,Butte,8,6.3,39.76168,-121.84047,06007,6.3
33495,Butte,6,10.7,39.76168,-121.84047,06007,10.7
33496,Butte,1,14.2,39.76168,-121.84047,06007,14.2
33497,Butte,8,7.1,39.76168,-121.84047,06007,7.1
33498,Butte,7,9.4,39.76168,-121.84047,06007,9.4
33499,Butte,5,7.4,39.76168,-121.84047,06007,7.4
33500,Butte,9,9.2,39.76168,-121.84047,06007,9.2
33501,Butte,1,13.2,39.76168,-121.84047,06007,13.2
33502,Butte,7,5.7,39.76168,-121.84047,06007,5.7
33503,Butte,9,8.5,39.76168,-121.84047,06007,8.5
33504,Butte,9,11.8,39.76168,-121.84047,06007,11.8
33505,Butte,9,14,39.76168,-121.84047,06007,14.0
33506,Butte,1,15.9,39.76168,-121.84047,06007,15.9
33507,Butte,6,15.5,39.76168,-121.84047,06007,15.5
33508,Butte,10,2.5,39.76168,-121.84047,06007,2.5
