,County Names,Month,Sample Measurement,Latitude,Longitude,FIPS,PM2.5 Values 2013
25079,Butte,2,12.1,39.76168,-121.84047,06007,12.1
25080,Butte,1,21.8,39.76168,-121.84047,06007,21.8
25081,Butte,5,2.7,39.76168,-121.84047,06007,2.7
25082,Butte,4,5.5,39.76168,-121.84047,06007,5.5
25083,Butte,4,3.7,39.76168,-121.84047,06007,3.7
25084,Butte,3,6.5,39.76168,-121.84047,06007,6.5
25085,Butte,4,3.9,39.76168,-121.84047,06007,3.9
25086,Butte,1,16.1,39.76168,-121.84047,06007,16.1
25087,Butte,5,4.5,39.76168,-121.84047,06007,4.5
25088,Butte,1,15.8,39.76168,-121.84047,06007,15.8
25089,Butte,2,11.9,39.76168,-121.84047,06007,11.9
25090,Butte,1,19.7,39.76168,-121.84047,06007,19.7
25091,Butte,5,10.8,39.76168,-121.84047,06007,10.8
25092,Butte,2,9.3,39.76168,-121.84047,06007,9.3
25093,Butte,1,12.5,39.76168,-121.84047,06007,12.5
25094,Butte,2,16.3,39.76168,-121.84047,06007,16.3
25095,Butte,3,2.7,39.76168,-121.84047,06007,2.7
25096,Butte,4,2.2,39.76168,-121.84047,06007,2.2
25097,Butte,5,10.6,39.76168,-121.84047,06007,10.6
25098,Butte,2,7.8,39.76168,-121.84047,06007,7.8
25099,Butte,2,12.1,39.76168,-121.84047,06007,12.1
25100,Butte,3,2,39.76168,-121.84047,06007,2.0
25101,Butte,3,2.3,39.76168,-121.84047,06007,2.3
25102,Butte,1,23,39.76168,-121.84047,06007,23.0
25103,Butte,1,29.4,39.76168,-121.84047,06007,29.4
25104,Butte,4,2,39.76168,-121.84047,06007,2.0
25105,Butte,1,20.6,39.76168,-121.84047,06007,20.6
25106,Butte,3,5,39.76168,-121.84047,06007,5.0
25107,Butte,1,27.9,39.76168,-121.84047,06007,27.9
25108,Butte,1,29.5,39.76168,-121.84047,06007,29.5
25109,Butte,3,9.2,39.76168,-121.84047,06007,9.2
25110,Butte,3,3.2,39.76168,-121.84047,06007,3.2
25111,Butte,5,11,39.76168,-121.84047,06007,11.0
25112,Butte,3,4.5,39.76168,-121.84047,06007,4.5
25113,Butte,5,3.9,39.76168,-121.84047,06007,3.9
25114,Butte,4,5.2,39.76168,-121.84047,06007,5.2
25115,Butte,3,7.3,39.76168,-121.84047,06007,7.3
25116,Butte,3,6.3,39.76168,-121.84047,06007,6.3
25117,Butte,4,3.2,39.76168,-121.84047,06007,3.2
25118,Butte,5,11.5,39.76168,-121.84047,06007,11.5
25119,Butte,2,6.8,39.76168,-121.84047,06007,6.8
25120,Butte,3,6,39.76168,-121.84047,06007,6.0
25121,Butte,3,5,39.76168,-121.84047,06007,5.0
25122,Butte,5,8.5,39.76168,-121.84047,06007,8.5
25123,Butte,5,4.2,39.76168,-121.84047,06007,4.2
25124,Butte,3,8.3,39.76168,-121.84047,06007,8.3
25125,Butte,3,3,39.76168,-121.84047,06007,3.0
25126,Butte,5,14.9,39.76168,-121.84047,06007,14.9
25127,Butte,4,3.1,39.76168,-121.84047,06007,3.1
25128,Butte,4,6,39.76168,-121.84047,06007,6.0
25129,Butte,4,5.7,39.76168,-121.84047,06007,5.7
25130,Butte,4,3.8,39.76168,-121.84047,06007,3.8
25131,Butte,5,2.8,39.76168,-121.84047,06007,2.8
25132,Butte,5,7.6,39.76168,-121.84047,06007,7.6
25133,Butte,2,5.2,39.76168,-121.84047,06007,5.2
25134,Butte,3,3.2,39.76168,-121.84047,06007,3.2
25135,Butte,5,6,39.76168,-121.84047,06007,6.0
25136,Butte,4,3.3,39.76168,-121.84047,06007,3.3
25137,Butte,4,2.9,39.76168,-121.84047,06007,2.9
25138,Butte,5,3.4,39.76168,-121.84047,06007,3.4
25139,Butte,2,6.8,39.76168,-121.84047,06007,6.8
25140,Butte,2,7.5,39.76168,-121.84047,06007,7.5
25141,Butte,1,31.9,39.76168,-121.84047,06007,31.9
25142,Butte,3,4.5,39.76168,-121.84047,06007,4.5
25143,Butte,2,19.9,39.76168,-121.84047,06007,19.9
25144,Butte,5,22.2,39.76168,-121.84047,06007,22.2
25145,Butte,1,18,39.76168,-121.84047,06007,18.0
25146,Butte,2,19.3,39.76168,-121.84047,06007,19.3
25147,Butte,1,22.9,39.76168,-121.84047,06007,22.9
25148,Butte,2,12,39.76168,-121.84047,06007,12.0
25149,Butte,4,5.5,39.76168,-121.84047,06007,5.5
25150,Butte,4,5.2,39.76168,-121.84047,06007,5.2
25151,Butte,5,8.3,39.76168,-121.84047,06007,8.3
25152,Butte,3,6.1,39.76168,-121.84047,06007,6.1
25153,Butte,5,23.7,39.76168,-121.84047,06007,23.7
25154,Butte,2,8.7,39.76168,-121.84047,06007,8.7
25155,Butte,5,6.9,39.76168,-121.84047,06007,6.9
25156,Butte,5,9,39.76168,-121.84047,06007,9.0
25157,Butte,3,3,39.76168,-121.84047,06007,3.0
25158,Butte,2,16.7,39.76168,-121.84047,06007,16.7
25159,Butte,1,20.3,39.76168,-121.84047,06007,20.3
25160,Butte,5,10.5,39.76168,-121.84047,06007,10.5
25161,Butte,2,5.6,39.76168,-121.84047,06007,5.6
25162,Butte,2,6.8,39.76168,-121.84047,06007,6.8
25163,Butte,5,3.9,39.76168,-121.84047,06007,3.9
25164,Butte,2,4.7,39.76168,-121.84047,06007,4.7
25165,Butte,2,2.4,39.76168,-121.84047,06007,2.4
25166,Butte,2,12.3,39.76168,-121.84047,06007,12.3
25167,Butte,3,6.1,39.76168,-121.84047,06007,6.1
25168,Butte,5,8,39.76168,-121.84047,06007,8.0
25169,Butte,3,4.8,39.76168,-121.84047,06007,4.8
25170,Butte,3,7.1,39.76168,-121.84047,06007,7.1
25171,Butte,5,7.1,39.76168,-121.84047,06007,7.1
25172,Butte,3,7.4,39.76168,-121.84047,06007,7.4
25173,Butte,4,1,39.76168,-121.84047,06007,1.0
25174,Butte,1,9.6,39.76168,-121.84047,06007,9.6
25175,Butte,2,5.8,39.76168,-121.84047,06007,5.8
25176,Butte,5,4.5,39.76168,-121.84047,06007,4.5
25177,Butte,5,7.7,39.76168,-121.84047,06007,7.7
25178,Butte,2,11.4,39.76168,-121.84047,06007,11.4
25179,Butte,3,3.4,39.76168,-121.84047,06007,3.4
25180,Butte,3,6.2,39.76168,-121.84047,06007,6.2
25181,Butte,3,8.3,39.76168,-121.84047,06007,8.3
25182,Butte,4,1,39.76168,-121.84047,06007,1.0
25183,Butte,1,18.5,39.76168,-121.84047,06007,18.5
25184,Butte,2,8.8,39.76168,-121.84047,06007,8.8
25185,Butte,2,7.6,39.76168,-121.84047,06007,7.6
25186,Butte,4,1,39.76168,-121.84047,06007,1.0
25187,Butte,5,7,39.76168,-121.84047,06007,7.0
25188,Butte,2,3.9,39.76168,-121.84047,06007,3.9
25189,Butte,4,1,39.76168,-121.84047,06007,1.0
25190,Butte,4,4,39.76168,-121.84047,06007,4.0
25191,Butte,5,4,39.76168,-121.84047,06007,4.0
25192,Butte,1,9,39.76168,-121.84047,06007,9.0
25193,Butte,1,11.9,39.76168,-121.84047,06007,11.9
25194,Butte,4,3.1,39.76168,-121.84047,06007,3.1
25195,Butte,3,4.5,39.76168,-121.84047,06007,4.5
25196,Butte,1,8.3,39.76168,-121.84047,06007,8.3
25197,Butte,5,9,39.76168,-121.84047,06007,9.0
25198,Butte,3,8.7,39.76168,-121.84047,06007,8.7
25199,Butte,5,4.2,39.76168,-121.84047,06007,4.2
25200,Butte,4,4.5,39.76168,-121.84047,06007,4.5
25201,Butte,3,2.6,39.76168,-121.84047,06007,2.6
25202,Butte,2,14.7,39.76168,-121.84047,06007,14.7
25203,Butte,7,12.6,39.76168,-121.84047,06007,12.6
25204,Butte,12,19.3,39.76168,-121.84047,06007,19.3
25205,Butte,8,5.5,39.76168,-121.84047,06007,5.5
25206,Butte,8,26.1,39.76168,-121.84047,06007,26.1
25207,Butte,12,28,39.76168,-121.84047,06007,28.0
25208,Butte,7,18.7,39.76168,-121.84047,06007,18.7
25209,Butte,12,21.6,39.76168,-121.84047,06007,21.6
25210,Butte,9,10.8,39.76168,-121.84047,06007,10.8
25211,Butte,12,30.2,39.76168,-121.84047,06007,30.2
25212,Butte,8,6.7,39.76168,-121.84047,06007,6.7
25213,Butte,12,10.3,39.76168,-121.84047,06007,10.3
25214,Butte,8,8.8,39.76168,-121.84047,06007,8.8
25215,Butte,11,11.9,39.76168,-121.84047,06007,11.9
25216,Butte,9,7.6,39.76168,-121.84047,06007,7.6
25217,Butte,12,22.3,39.76168,-121.84047,06007,22.3
25218,Butte,8,5.8,39.76168,-121.84047,06007,5.8
25219,Butte,8,5.8,39.76168,-121.84047,06007,5.8
25220,Butte,12,23.9,39.76168,-121.84047,06007,23.9
25221,Butte,10,11.3,39.76168,-121.84047,06007,11.3
25222,Butte,10,3.6,39.76168,-121.84047,06007,3.6
25223,Butte,7,7,39.76168,-121.84047,06007,7.0
25224,Butte,8,11.1,39.76168,-121.84047,06007,11.1
25225,Butte,10,4.1,39.76168,-121.84047,06007,4.1
25226,Butte,7,17.1,39.76168,-121.84047,06007,17.1
25227,Butte,8,9.9,39.76168,-121.84047,06007,9.9
25228,Butte,9,5.6,39.76168,-121.84047,06007,5.6
25229,Butte,8,6.6,39.76168,-121.84047,06007,6.6
25230,Butte,8,21.8,39.76168,-121.84047,06007,21.8
25231,Butte,9,10.8,39.76168,-121.84047,06007,10.8
25232,Butte,7,11.2,39.76168,-121.84047,06007,11.2
25233,Butte,11,23.1,39.76168,-121.84047,06007,23.1
25234,Butte,6,4.5,39.76168,-121.84047,06007,4.5
25235,Butte,9,7.6,39.76168,-121.84047,06007,7.6
25236,Butte,11,10.1,39.76168,-121.84047,06007,10.1
25237,Butte,9,2.6,39.76168,-121.84047,06007,2.6
25238,Butte,6,1,39.76168,-121.84047,06007,1.0
25239,Butte,12,25.9,39.76168,-121.84047,06007,25.9
25240,Butte,11,7.8,39.76168,-121.84047,06007,7.8
25241,Butte,7,7.6,39.76168,-121.84047,06007,7.6
25242,Butte,12,31.3,39.76168,-121.84047,06007,31.3
25243,Butte,9,5.8,39.76168,-121.84047,06007,5.8
25244,Butte,10,7,39.76168,-121.84047,06007,7.0
25245,Butte,6,4.2,39.76168,-121.84047,06007,4.2
25246,Butte,7,13,39.76168,-121.84047,06007,13.0
25247,Butte,12,22.2,39.76168,-121.84047,06007,22.2
25248,Butte,7,6,39.76168,-121.84047,06007,6.0
25249,Butte,7,5.8,39.76168,-121.84047,06007,5.8
25250,Butte,10,9.2,39.76168,-121.84047,06007,9.2
25251,Butte,10,10.3,39.76168,-121.84047,06007,10.3
25252,Butte,11,4.3,39.76168,-121.84047,06007,4.3
25253,Butte,10,13.2,39.76168,-121.84047,06007,13.2
