,County Names,Month,Sample Measurement,Latitude,Longitude,FIPS,PM2.5 Values 2016
37694,Butte,1,16.3,39.76168,-121.84047,06007,16.3
37695,Butte,1,1,39.76168,-121.84047,06007,1.0
37696,Butte,2,2.3,39.76168,-121.84047,06007,2.3
37697,Butte,7,11.4,39.76168,-121.84047,06007,11.4
37698,Butte,9,9.9,39.76168,-121.84047,06007,9.9
37699,Butte,10,9.9,39.76168,-121.84047,06007,9.9
37700,Butte,11,11.5,39.76168,-121.84047,06007,11.5
37701,Butte,11,12,39.76168,-121.84047,06007,12.0
37702,Butte,12,18.7,39.76168,-121.84047,06007,18.7
37703,Butte,3,3.5,39.76168,-121.84047,06007,3.5
37704,Butte,5,9.3,39.76168,-121.84047,06007,9.3
37705,Butte,11,8.7,39.76168,-121.84047,06007,8.7
37706,Butte,9,19.8,39.76168,-121.84047,06007,19.8
37707,Butte,9,5.2,39.76168,-121.84047,06007,5.2
37708,Butte,1,14.4,39.76168,-121.84047,06007,14.4
37709,Butte,4,3.9,39.76168,-121.84047,06007,3.9
37710,Butte,5,6.3,39.76168,-121.84047,06007,6.3
37711,Butte,9,12.9,39.76168,-121.84047,06007,12.9
37712,Butte,10,3,39.76168,-121.84047,06007,3.0
37713,Butte,10,3.9,39.76168,-121.84047,06007,3.9
37714,Butte,8,7.4,39.76168,-121.84047,06007,7.4
37715,Butte,4,9.6,39.76168,-121.84047,06007,9.6
37716,Butte,12,17.3,39.76168,-121.84047,06007,17.3
37717,Butte,10,5,39.76168,-121.84047,06007,5.0
37718,Butte,8,7.5,39.76168,-121.84047,06007,7.5
37719,Butte,5,5.1,39.76168,-121.84047,06007,5.1
37720,Butte,4,2.7,39.76168,-121.84047,06007,2.7
37721,Butte,12,10,39.76168,-121.84047,06007,10.0
37722,Butte,11,10.1,39.76168,-121.84047,06007,10.1
37723,Butte,6,4.9,39.76168,-121.84047,06007,4.9
37724,Butte,1,4.6,39.76168,-121.84047,06007,4.6
37725,Butte,1,9.5,39.76168,-121.84047,06007,9.5
37726,Butte,4,8.7,39.76168,-121.84047,06007,8.7
37727,Butte,10,3.8,39.76168,-121.84047,06007,3.8
37728,Butte,5,4.2,39.76168,-121.84047,06007,4.2
37729,Butte,6,2.8,39.76168,-121.84047,06007,2.8
37730,Butte,4,3.6,39.76168,-121.84047,06007,3.6
37731,Butte,10,2.2,39.76168,-121.84047,06007,2.2
37732,Butte,4,1,39.76168,-121.84047,06007,1.0
37733,Butte,6,3.5,39.76168,-121.84047,06007,3.5
37734,Butte,7,14.1,39.76168,-121.84047,06007,14.1
37735,Butte,3,2.8,39.76168,-121.84047,06007,2.8
37736,Butte,8,9,39.76168,-121.84047,06007,9.0
37737,Butte,2,7.3,39.76168,-121.84047,06007,7.3
37738,Butte,2,5.7,39.76168,-121.84047,06007,5.7
37739,Butte,7,13,39.76168,-121.84047,06007,13.0
37740,Butte,10,2.5,39.76168,-121.84047,06007,2.5
37741,Butte,12,22.5,39.76168,-121.84047,06007,22.5
37742,Butte,7,5.9,39.76168,-121.84047,06007,5.9
37743,Butte,10,3.1,39.76168,-121.84047,06007,3.1
37744,Butte,10,4.8,39.76168,-121.84047,06007,4.8
37745,Butte,9,19.7,39.76168,-121.84047,06007,19.7
37746,Butte,4,1,39.76168,-121.84047,06007,1.0
37747,Butte,3,4.7,39.76168,-121.84047,06007,4.7
37748,Butte,1,10.5,39.76168,-121.84047,06007,10.5
37749,Butte,3,5.6,39.76168,-121.84047,06007,5.6
37750,Butte,4,2.2,39.76168,-121.84047,06007,2.2
37751,Butte,1,4.5,39.76168,-121.84047,06007,4.5
37752,Butte,7,4.6,39.76168,-121.84047,06007,4.6
37753,Butte,3,5.4,39.76168,-121.84047,06007,5.4
37754,Butte,6,6.5,39.76168,-121.84047,06007,6.5
37755,Butte,12,14.8,39.76168,-121.84047,06007,14.8
37756,Butte,9,11.9,39.76168,-121.84047,06007,11.9
37757,Butte,2,7.5,39.76168,-121.84047,06007,7.5
37758,Butte,5,5.3,39.76168,-121.84047,06007,5.3
37759,Butte,1,5.1,39.76168,-121.84047,06007,5.1
37760,Butte,10,12.4,39.76168,-121.84047,06007,12.4
37761,Butte,11,6.6,39.76168,-121.84047,06007,6.6
37762,Butte,8,11.1,39.76168,-121.84047,06007,11.1
37763,Butte,6,7.6,39.76168,-121.84047,06007,7.6
37764,Butte,3,4.5,39.76168,-121.84047,06007,4.5
37765,Butte,9,10.4,39.76168,-121.84047,06007,10.4
37766,Butte,3,3.7,39.76168,-121.84047,06007,3.7
37767,Butte,9,15.8,39.76168,-121.84047,06007,15.8
37768,Butte,9,14.7,39.76168,-121.84047,06007,14.7
37769,Butte,4,2.8,39.76168,-121.84047,06007,2.8
37770,Butte,5,4.6,39.76168,-121.84047,06007,4.6
37771,Butte,2,7.1,39.76168,-121.84047,06007,7.1
37772,Butte,6,2.5,39.76168,-121.84047,06007,2.5
37773,Butte,12,22.6,39.76168,-121.84047,06007,22.6
37774,Butte,1,4.1,39.76168,-121.84047,06007,4.1
37775,Butte,4,4.7,39.76168,-121.84047,06007,4.7
37776,Butte,8,9.9,39.76168,-121.84047,06007,9.9
37777,Butte,5,5.3,39.76168,-121.84047,06007,5.3
37778,Butte,5,3.1,39.76168,-121.84047,06007,3.1
37779,Butte,1,12.7,39.76168,-121.84047,06007,12.7
37780,Butte,4,2.9,39.76168,-121.84047,06007,2.9
37781,Butte,8,13.3,39.76168,-121.84047,06007,13.3
37782,Butte,11,15.6,39.76168,-121.84047,06007,15.6
37783,Butte,1,6.2,39.76168,-121.84047,06007,6.2
37784,Butte,6,3.8,39.76168,-121.84047,06007,3.8
37785,Butte,9,8.9,39.76168,-121.84047,06007,8.9
37786,Butte,7,11.1,39.76168,-121.84047,06007,11.1
37787,Butte,5,3,39.76168,-121.84047,06007,3.0
37788,Butte,11,1,39.76168,-121.84047,06007,1.0
37789,Butte,9,8.3,39.76168,-121.84047,06007,8.3
37790,Butte,5,2.4,39.76168,-121.84047,06007,2.4
37791,Butte,8,7.3,39.76168,-121.84047,06007,7.3
37792,Butte,10,9.5,39.76168,-121.84047,06007,9.5
37793,Butte,4,1,39.76168,-121.84047,06007,1.0
37794,Butte,5,6.6,39.76168,-121.84047,06007,6.6
37795,Butte,4,6.2,39.76168,-121.84047,06007,6.2
37796,Butte,8,6.2,39.76168,-121.84047,06007,6.2
37797,Butte,8,10,39.76168,-121.84047,06007,10.0
37798,Butte,10,7,39.76168,-121.84047,06007,7.0
37799,Butte,10,6.6,39.76168,-121.84047,06007,6.6
37800,Butte,3,4.4,39.76168,-121.84047,06007,4.4
37801,Butte,2,4.9,39.76168,-121.84047,06007,4.9
37802,Butte,3,2.5,39.76168,-121.84047,06007,2.5
37803,Butte,4,1,39.76168,-121.84047,06007,1.0
37804,Butte,12,21.2,39.76168,-121.84047,06007,21.2
37805,Butte,5,5.8,39.76168,-121.84047,06007,5.8
37806,Butte,7,6.1,39.76168,-121.84047,06007,6.1
37807,Butte,5,4,39.76168,-121.84047,06007,4.0
