,County Names,2011 PM2.5,2012 PM2.5,2013 PM2.5,2014 PM2.5,2015 PM2.5,2016 PM2.5
0,Alameda,9.319156757998735,8.049433339028441,10.611843994257457,8.550984970959822,9.34024640657084,7.695975166485367
1,Butte,12.003278688524587,7.797619047619048,10.166666666666671,8.80740740740741,9.169578313253009,7.600914634146347
2,Calaveras,9.24292648277495,7.001855717930875,9.243005119657102,7.922195985832349,8.771994472593272,8.101435406698565
3,Colusa,5.830244551655299,9.018391660461653,7.435803538290238,6.543521797533277,6.837357178340786,4.66588134765625
4,Contra Costa,8.458422939068095,7.061688311688311,9.848263787569305,8.597702489941106,8.886865275600048,7.098264563106794
5,Fresno,15.162572588519465,12.346512826612726,14.69641356012105,13.696881450899465,13.46803162195776,11.279233797917854
6,Humboldt,8.803835005574165,6.867154546502231,7.642023346303496,10.594699158397207,8.427291812456259,5.962854806681446
7,Imperial,9.759793814432985,10.630749999999994,9.962979683972911,16.68586448598131,12.826324864927006,11.66455284552845
8,Inyo,8.444740134197623,7.558449074074082,7.9959860788862995,7.919697142206544,7.051228995057699,5.352193968748233
9,Kern,8.26016514806378,6.9100201522615325,9.130939095334202,6.7131578947368435,5.912894619831035,8.040059543499835
10,Kings,17.077426675977655,14.783232276119405,18.076604339796862,17.043844415368145,16.23296586059744,15.655332267641013
11,Lake,3.518032786885246,3.9166666666666674,3.868852459016393,4.065573770491803,3.8449999999999993,2.9852459016393436
12,Los Angeles,11.831937436932378,11.24567354965582,11.313958125623126,13.362012012012,11.028634146341481,10.995261052977595
13,Madera,17.675337533753375,12.118168197511563,14.048847548847547,12.3067119456652,13.868228082350221,12.134697631639456
14,Marin,10.112663755458517,8.095042817512965,10.855161062779217,10.799086223055296,8.846850293292528,6.486876956417048
15,Mendicino,8.729864280210988,6.142586392065197,9.617894382778339,7.134820736145081,8.313888066331064,6.3936324167872645
16,Merced,15.7193717888837,10.92383003492433,13.308568455134134,10.83163179916318,12.947440231828061,11.994774401473295
17,Monterey,6.307554766133808,5.731877421627335,6.541280166275356,4.775783043461344,5.640421322160148,5.804339067100574
18,Nevada,4.676470588235293,4.634188034188034,6.892631578947368,5.3855555555555545,4.941052631578949,5.71271676300578
19,Orange,10.358658008658,10.056808510638302,9.577901785714287,11.882575757575754,8.8770731707317,8.87467811158799
20,Placer,8.462295081967214,5.146652144003669,6.622941445562671,6.708379233563812,7.676682188591385,6.013099441849869
21,Plumas,11.446320346320356,11.28076923076923,10.926960784313724,12.400917431192665,12.131506849315064,10.085714285714298
22,Riverside,8.651489600899383,8.2897028488599,8.532491236552875,11.141830845770919,10.566812018397943,10.204808877928485
23,Sacramento,10.444871794871807,8.527390180878552,8.065117613310385,7.796676005148784,8.360641346095226,6.3855629973095205
24,San Benito,5.781961987958919,4.859564078132512,6.039039767216295,4.702479338842975,4.341577228184788,4.287063267233239
25,San Bernardino,11.09334763948498,10.757818930041154,10.59445544554455,10.747787610619463,15.304899882214322,10.167431449356464
26,San Diego,10.154534267322985,9.76052595906195,7.448133980840925,7.315866623711464,5.522116103791496,6.3389944576405375
27,San Francisco,9.55420844019585,8.196360972035658,10.173668461998805,7.674705813818012,7.586633952564553,7.6204388266157865
28,San Joaquin,12.039680384779489,11.02611203286719,14.31036963036963,10.969434519185958,12.70725028770983,11.70017500305238
29,San Luis Obispo,8.897803125000003,7.52201627353641,9.200379783815368,8.746231668561766,8.163478483770707,6.9249127472162195
30,San Mateo,8.867820558106676,8.570083234244946,10.739603024574668,7.145918248515197,5.721728081321473,8.327173655531864
31,Santa Barbara,9.420523255813952,8.108218448612508,8.280313371713454,8.189985388777004,8.04567981741115,7.057401565124758
32,Santa Clara,8.190731204943358,7.925612951525362,10.641751977664027,7.601690547366251,8.526346004654771,7.7432196452933155
33,Santa Cruz,6.52039132484677,5.808606752258678,8.403958008228118,7.285838814486092,5.533557912004218,5.296084161309175
34,Shasta,5.1696428571428585,5.905521472392638,5.5417721518987335,5.292638036809817,7.452631578947368,5.05
35,Siskiyou,5.564516129032262,5.738983050847456,7.9315789473684255,10.416279069767443,7.4740740740740765,4.936206896551723
36,Solano,10.13958284782102,9.006600660066006,10.730375029117168,9.971103632354648,9.49618966977138,7.949479670861567
37,Sonoma,8.639355824615022,8.257294103163856,8.559821649739908,7.791893813699929,6.674390683155241,4.678413584554548
38,Stanislaus,15.995310695310696,13.32618609994256,14.706048959318828,11.929120490450366,11.841872113445651,12.001235076163029
39,Sutter,8.134276729559746,6.9451977401129925,8.20095238095238,9.320382165605093,9.66090909090909,8.118518518518522
40,Tulare,16.375892857142848,14.763247863247859,18.398290598290593,17.862096774193553,16.11923076923076,14.706779661016945
41,Ventura,8.644309927360771,9.477005592738607,8.720523128048454,8.944219518613737,8.356385177021629,8.791687022453246
42,Yolo,7.466101694915255,6.470967741935487,7.191228070175439,5.885964912280703,7.62542372881356,6.316666666666666
