,Month,Year,County,Temp_Celsius
0,1,2010,Amador,0.3614552767029948
1,1,2010,Butte,0.2174153992178385
2,1,2010,Calaveras,0.3598413770386268
3,1,2010,Colusa,0.3072346892529073
4,1,2010,Del Norte,0.30794911677183123
5,1,2010,El Dorado,0.6598816784698301
6,1,2010,Fresno,0.1781518256209902
7,1,2010,Glenn,0.3280226136380377
8,1,2010,Imperial,0.1355170202979295
9,1,2010,Inyo,0.170353072610267
10,1,2010,Kern,0.1436071334083458
11,1,2010,Kings,0.26512962992095246
12,1,2010,Lake,0.22334638296198867
13,1,2010,Los Angeles,0.2063448633430298
14,1,2010,Madera,0.38406697436763254
15,1,2010,Marin,0.22770615348665857
16,1,2010,Mariposa,0.39799319381958226
17,1,2010,Merced,0.37282085404110843
18,1,2010,Mono,0.3635371372202976
19,1,2010,Monterey,0.1798772296875676
20,1,2010,Orange,0.284265040093097
21,1,2010,Placer,0.32345087724169813
22,1,2010,Riverside,0.1657851748460506
23,1,2010,Sacramento,0.14334160177176633
24,1,2010,San Benito,0.2295480228427244
25,1,2010,San Bernardino,0.2110564718914575
26,1,2010,San Diego,0.14687826210919414
27,1,2010,San Joaquin,0.24484821447439734
28,1,2010,San Luis Obispo,0.18776076685842646
29,1,2010,Santa Barbara,0.10960988071914186
30,1,2010,Santa Cruz,0.18305619097462272
31,1,2010,Shasta,0.4974128547663039
32,1,2010,Stanislaus,0.34043479850430863
33,1,2010,Sutter,0.4148931821711618
34,1,2010,Tulare,0.3506719875106332
35,1,2010,Tuolumne,0.4487178921726987
36,1,2010,Ventura,0.2662802985589176
37,1,2010,Yolo,0.3289152428303283
38,1,2011,Amador,0.4591928978546224
39,1,2011,Butte,0.3611913338298224
40,1,2011,Calaveras,0.43313046865163657
41,1,2011,Colusa,0.6160833019870264
42,1,2011,Del Norte,0.5192089693089712
43,1,2011,El Dorado,0.7670116046225294
44,1,2011,Fresno,0.1664388473881135
45,1,2011,Glenn,0.6872354189875937
46,1,2011,Humboldt,0.5096562071248135
47,1,2011,Imperial,0.32949044442324743
48,1,2011,Inyo,0.2135028580851183
49,1,2011,Kern,0.16052603269421153
50,1,2011,Kings,0.2065013004388783
51,1,2011,Lake,0.370089006259747
52,1,2011,Los Angeles,0.30905406270005076
53,1,2011,Madera,0.2664413390651457
54,1,2011,Marin,0.49267619433626264
55,1,2011,Mariposa,0.4633721671267503
56,1,2011,Merced,0.42633563547392844
57,1,2011,Mono,0.5150874571810707
58,1,2011,Monterey,0.26637401770857355
59,1,2011,Placer,0.5269513341670297
60,1,2011,Riverside,0.32570866222224615
61,1,2011,Sacramento,0.1816712754376762
62,1,2011,San Benito,0.4098944183678408
63,1,2011,San Bernardino,0.3101799978194902
64,1,2011,San Diego,0.18207488565186952
65,1,2011,San Joaquin,0.26952696838315465
66,1,2011,San Luis Obispo,0.2748425946188726
67,1,2011,Santa Barbara,0.16666829207887543
68,1,2011,Santa Clara,0.3041429315320238
69,1,2011,Santa Cruz,0.26358627807926555
70,1,2011,Shasta,0.7824708795143779
71,1,2011,Stanislaus,0.38768382020445646
72,1,2011,Sutter,0.5197705434522651
73,1,2011,Tulare,0.2348567525213532
74,1,2011,Tuolumne,0.43458510048493404
75,1,2011,Ventura,0.2993304934871839
76,1,2011,Yolo,0.6067015657189454
77,1,2012,Amador,0.41379443207084754
78,1,2012,Butte,0.27279847016058445
79,1,2012,Calaveras,0.46784875635343837
80,1,2012,Colusa,0.38964172255666335
81,1,2012,Del Norte,0.3760770444590758
82,1,2012,El Dorado,0.750388790465505
83,1,2012,Fresno,0.16050789636426196
84,1,2012,Glenn,0.4706864081445348
85,1,2012,Humboldt,0.4011849613707086
86,1,2012,Imperial,0.16979052179664558
87,1,2012,Inyo,0.1629038070765242
88,1,2012,Kern,0.15511613031673568
89,1,2012,Kings,0.24545589307158608
90,1,2012,Lake,0.30794275424347956
91,1,2012,Los Angeles,0.1891097832606215
92,1,2012,Madera,0.26492386332605994
93,1,2012,Marin,0.5632628203912271
94,1,2012,Mariposa,0.4134308816011777
95,1,2012,Merced,0.37154216538989915
96,1,2012,Mono,0.4199800180478108
97,1,2012,Monterey,0.264317173340423
98,1,2012,Orange,0.3792641078882326
99,1,2012,Placer,0.37095618897470134
100,1,2012,Riverside,0.231669617083243
101,1,2012,Sacramento,0.16685408714141495
102,1,2012,San Benito,0.3623808998357895
103,1,2012,San Bernardino,0.21913831756166602
104,1,2012,San Diego,0.18377485940976646
105,1,2012,San Joaquin,0.22359343189739844
106,1,2012,San Luis Obispo,0.24980785416769957
107,1,2012,Santa Barbara,0.14096634218227974
108,1,2012,Santa Clara,0.40071490990234493
109,1,2012,Santa Cruz,0.3777399607074609
110,1,2012,Shasta,0.7684478224816521
111,1,2012,Stanislaus,0.2612067231585632
112,1,2012,Sutter,0.3163209369048933
113,1,2012,Tulare,0.25565221635502433
114,1,2012,Tuolumne,0.4407093030905779
115,1,2012,Ventura,0.295915789447106
116,1,2012,Yolo,0.3828438600941413
117,1,2013,Butte,0.39133575557215516
118,1,2013,Calaveras,0.6080290927453464
119,1,2013,Del Norte,0.38333991221602126
120,1,2013,El Dorado,0.8854959539825352
121,1,2013,Fresno,0.20036888283502668
122,1,2013,Glenn,0.4755217279768226
123,1,2013,Humboldt,0.33244434202899203
124,1,2013,Imperial,0.3268473653766578
125,1,2013,Inyo,0.24023249362876495
126,1,2013,Kern,0.21787827283330785
127,1,2013,Kings,0.28112669644392196
128,1,2013,Lake,0.31227327791749593
129,1,2013,Los Angeles,0.2369495501442516
130,1,2013,Madera,0.3287269090074377
131,1,2013,Marin,0.398876556882832
132,1,2013,Mariposa,0.564617207668685
133,1,2013,Merced,0.48460406379429666
134,1,2013,Mono,0.7552013301602281
135,1,2013,Monterey,0.29712465469848626
136,1,2013,Orange,0.44805727753118024
137,1,2013,Riverside,0.28973753320548684
138,1,2013,Sacramento,0.24344493669655556
139,1,2013,San Benito,0.39722043427973525
140,1,2013,San Bernardino,0.31037480722178595
141,1,2013,San Diego,0.23108465472816062
142,1,2013,San Joaquin,0.2595840267675525
143,1,2013,San Luis Obispo,0.315798198562546
144,1,2013,Santa Barbara,0.17563882639952427
145,1,2013,Santa Clara,0.44921531648061325
146,1,2013,Santa Cruz,0.31319570945948555
147,1,2013,Shasta,0.756395600100581
148,1,2013,Stanislaus,0.4777237478342654
149,1,2013,Tulare,0.35328654110839497
150,1,2013,Tuolumne,0.6007350479130996
151,1,2013,Ventura,0.3152229093924494
152,1,2014,Del Norte,0.2831289086888633
153,1,2014,Fresno,0.14060399148628952
154,1,2014,Humboldt,0.2839191267256468
155,1,2014,Imperial,0.25423186109103313
156,1,2014,Inyo,0.18012718418107443
157,1,2014,Kern,0.2408859525655903
158,1,2014,Kings,0.19799238034531944
159,1,2014,Lake,0.29694630418370865
160,1,2014,Los Angeles,0.17228499022286498
161,1,2014,Madera,0.23507598244597
162,1,2014,Mariposa,0.5110323713056041
163,1,2014,Merced,0.3496533467963821
164,1,2014,Mono,0.3579172132983369
165,1,2014,Monterey,0.20080409750540895
166,1,2014,Orange,0.39623801550758164
167,1,2014,Riverside,0.14540558894789063
168,1,2014,Sacramento,0.189025457104805
169,1,2014,San Benito,0.21775530203815496
170,1,2014,San Bernardino,0.19900235103885408
171,1,2014,San Diego,0.15470235452291314
172,1,2014,San Joaquin,0.24702239412425211
173,1,2014,San Luis Obispo,0.2585616812108983
174,1,2014,Santa Barbara,0.13670687737429668
175,1,2014,Santa Clara,0.366064024450304
176,1,2014,Santa Cruz,0.2700676030429041
177,1,2014,Shasta,0.5307445868057696
178,1,2014,Stanislaus,0.3736682245705739
179,1,2014,Tulare,0.2449582815745359
180,1,2014,Ventura,0.24871298776571626
181,1,2015,Fresno,0.19567908200292705
182,1,2015,Humboldt,0.4289699870615336
183,1,2015,Imperial,0.346189398542212
184,1,2015,Inyo,0.2022780569563997
185,1,2015,Kern,0.29745417135644237
186,1,2015,Kings,0.25917844825498065
187,1,2015,Lake,0.3773612271558341
188,1,2015,Los Angeles,0.21858306611497932
189,1,2015,Madera,0.30010779944630567
190,1,2015,Mariposa,0.5545301585787594
191,1,2015,Merced,0.4180306053388871
192,1,2015,Mono,0.4049561606805815
193,1,2015,Monterey,0.2748704272347585
194,1,2015,Orange,0.32747175398108624
195,1,2015,Riverside,0.19112856878247864
196,1,2015,Sacramento,0.2349183400384142
197,1,2015,San Benito,0.3477199753304456
198,1,2015,San Bernardino,0.2718626896363626
199,1,2015,San Diego,0.1803162860499832
200,1,2015,San Joaquin,0.35081855439936266
201,1,2015,San Luis Obispo,0.29948805914433596
202,1,2015,Santa Barbara,0.15464136416754268
203,1,2015,Santa Clara,0.43785200357557436
204,1,2015,Santa Cruz,0.34257122483185243
205,1,2015,Shasta,0.49209279569180997
206,1,2015,Stanislaus,0.48527675635751666
207,1,2015,Tulare,0.3056873160250086
208,1,2015,Ventura,0.2730281937926164
209,1,2016,Amador,0.446275761476947
210,1,2016,Butte,0.28646300698140476
211,1,2016,Calaveras,0.43196211222098135
212,1,2016,Colusa,0.3912476987685861
213,1,2016,Fresno,0.15306292420525627
214,1,2016,Glenn,0.3796921502791941
215,1,2016,Imperial,0.2335760672236171
216,1,2016,Inyo,0.1751656752806075
217,1,2016,Kern,0.17853931737706769
218,1,2016,Kings,0.2713868552762067
