,Year,County,RH_percent,First_Max_Value,First_Max_Hour
0,2010,Butte,63.22638190593604,80.28949771689497,7.510502283105023
1,2010,Del Norte,78.27204120426835,88.55579268292684,8.634146341463415
2,2010,Fresno,63.75974361895916,86.29739776951673,5.4758364312267656
3,2010,Glenn,65.400674569863,80.37808219178082,8.112328767123287
4,2010,Humboldt,74.46874863422816,88.24496644295299,7.442953020134228
5,2010,Imperial,44.97227687397258,64.74246575342465,7.016438356164383
6,2010,Inyo,33.52515609609605,48.71604938271605,8.72972972972973
7,2010,Kern,58.04673214754096,78.49373191899711,5.841851494696239
8,2010,Lake,71.04533458058609,88.40750915750915,6.826007326007326
9,2010,Los Angeles,66.35035489904865,84.14561310782241,7.074524312896406
10,2010,Madera,62.92096432958801,83.82022471910112,6.056179775280899
11,2010,Marin,88.28729265517244,96.54858934169279,7.658307210031348
12,2010,Mariposa,56.3831965782396,72.31051344743277,9.80073349633252
13,2010,Nevada,44.99426496629209,59.11797752808989,12.191011235955056
14,2010,Orange,61.960673831491775,78.57044198895028,8.136740331491712
15,2010,Placer,63.507574332417526,83.16208791208791,7.667582417582418
16,2010,Riverside,54.64518749252412,73.55995309293462,6.917912635590736
17,2010,Sacramento,67.09994244553245,87.35495716034272,7.108323133414933
18,2010,San Benito,61.454300361643845,82.07397260273973,5.536986301369863
19,2010,San Bernardino,52.393690341998024,71.57186544342508,8.016309887869522
20,2010,San Diego,66.79358403237742,85.12673450508788,8.752081406105457
21,2010,San Joaquin,64.96215762739727,81.42465753424658,6.64931506849315
22,2010,Santa Barbara,67.81073552876708,84.34794520547945,7.8191780821917805
23,2010,Shasta,66.41734252054793,83.68219178082192,8.98082191780822
24,2010,Tulare,61.00362837202919,78.28153564899452,8.882998171846435
25,2010,Ventura,65.08323307626078,83.53013530135301,8.429274292742928
26,2011,Butte,61.18835555890418,79.21187214611872,7.926940639269406
27,2011,Del Norte,79.7362425925925,91.1447811447815,7.36026936026936
28,2011,Fresno,62.26180456920264,85.22456461961504,5.4427131072410635
29,2011,Glenn,66.73021619607839,87.44257703081233,7.176470588235294
30,2011,Humboldt,75.29355052160489,88.28950617283945,8.391975308641975
31,2011,Imperial,42.050351834757834,61.66096866096866,7.378917378917379
32,2011,Inyo,29.463412700762085,44.77754982415006,8.3584407971864
33,2011,Kern,56.94660606575345,80.58904109589041,5.719178082191781
34,2011,Lake,66.52564688036527,85.11141552511415,7.266666666666667
35,2011,Los Angeles,63.447969917270555,82.50513285024155,7.795289855072464
36,2011,Madera,62.18103861341859,83.98722044728434,5.60223642172524
37,2011,Marin,85.40850150410957,95.92602739726027,6.901369863013699
38,2011,Mariposa,57.45682173670554,73.72243839169909,10.988326848249027
39,2011,Nevada,42.12120550543477,59.66304347826087,13.842391304347826
40,2011,Orange,59.39362618285716,76.63809523809523,8.607619047619048
41,2011,Placer,61.04482349863014,81.59452054794521,6.8
42,2011,Riverside,46.73589276589891,66.50979718116191,7.77793056033001
43,2011,Sacramento,66.09046309330408,86.81997804610319,6.611964873765094
44,2011,San Benito,61.444515002739784,85.79452054794521,5.663013698630137
45,2011,San Bernardino,49.30163362127179,69.27124366910523,8.33708497467642
46,2011,San Diego,63.189217405479475,83.01278538812785,9.084018264840182
47,2011,San Joaquin,63.718398873972575,80.45753424657535,6.890410958904109
48,2011,Santa Barbara,70.46018335616435,88.36986301369863,7.624657534246575
49,2011,Santa Clara,57.06526081181318,68.73901098901099,9.76510989010989
50,2011,Shasta,62.84426201917806,80.54246575342465,8.923287671232877
51,2011,Tulare,60.51369710684928,77.90867579908675,9.326940639269406
52,2011,Ventura,61.820181214937044,81.98827616152845,8.763786365610073
53,2012,Butte,56.74337188950893,75.82142857142857,7.842633928571429
54,2012,Del Norte,84.99786490322573,97.16161290322584,7.680645161290323
55,2012,Fresno,56.09518843767575,78.49297094657919,5.823805060918463
56,2012,Glenn,59.2906420737705,79.29234972677595,7.275956284153006
57,2012,Humboldt,75.23184754142008,88.79911242603553,8.414201183431953
58,2012,Imperial,43.87317854098358,64.33333333333333,7.385245901639344
59,2012,Inyo,26.651591031939134,40.86108998732573,8.048415716096324
60,2012,Kern,50.04973786327686,72.70508474576272,5.736723163841808
61,2012,Lake,62.476993746812326,81.84061930783243,7.623861566484518
62,2012,Los Angeles,60.538297267554775,80.30835414932001,7.913960588398557
63,2012,Madera,58.100941306834,79.74058577405857,6.421199442119944
64,2012,Marin,83.69148968660973,93.77777777777777,8.353276353276353
65,2012,Mariposa,48.778961835680754,65.0669014084507,9.974178403755868
66,2012,Nevada,34.00747284782607,48.84239130434783,12.576086956521738
67,2012,Orange,60.59473550819671,78.69262295081967,8.102459016393443
68,2012,Placer,46.08099149635035,69.48905109489051,6.142335766423358
69,2012,Riverside,46.08523681489839,65.84488874556595,7.887455659464689
70,2012,Sacramento,59.99441516666665,83.83850574712643,6.508045977011494
71,2012,San Benito,59.264082770491775,86.1311475409836,6.745901639344262
72,2012,San Bernardino,48.30137110903733,68.11296660117878,8.290275049115914
73,2012,San Diego,64.25123957194896,84.40710382513662,8.728597449908925
74,2012,San Joaquin,60.06796943442617,78.20218579234972,6.601092896174864
75,2012,Santa Barbara,69.43148971038256,87.06284153005464,7.472677595628415
76,2012,Santa Clara,46.69118762222219,50.87222222222222,12.186111111111112
77,2012,Shasta,59.403388118457265,77.42148760330579,8.650137741046832
78,2012,Tulare,55.86532195473249,73.10802469135803,9.08230452674897
79,2012,Ventura,60.202288912072966,81.46651480637813,8.505239179954442
