,Month,Year,County,RH_percent
152,1,2016,Orange,2.089401931956906
153,1,2016,Riverside,1.1230613602952741
154,1,2016,Sacramento,0.9779940466550554
155,1,2016,San Benito,1.3659707311720855
156,1,2016,San Bernardino,1.5293636687316925
157,1,2016,San Diego,2.3465987591709574
158,1,2016,San Joaquin,1.1964834616315791
159,1,2016,San Luis Obispo,1.1569129926744541
160,1,2016,Santa Barbara,1.441870018877641
161,1,2016,Santa Clara,2.1630244908639384
162,1,2016,Shasta,3.468285706534683
163,1,2016,Sutter,2.083612176814797
164,1,2016,Tulare,1.708597032274524
165,1,2016,Ventura,1.7288818766206755
166,1,2016,Yolo,2.308873670584166
167,2,2010,Butte,1.0977468937112098
168,2,2010,Del Norte,0.8563599427120565
169,2,2010,Fresno,0.8429428067163391
170,2,2010,Glenn,1.0740507949431486
171,2,2010,Humboldt,1.520056350388468
172,2,2010,Imperial,2.5188228507059702
173,2,2010,Inyo,1.3054672813129249
174,2,2010,Kern,0.8824475584412734
175,2,2010,Lake,1.1376582197129421
176,2,2010,Los Angeles,1.1147883330634318
177,2,2010,Madera,0.9682940487373816
178,2,2010,Marin,0.8318473903481418
179,2,2010,Mariposa,3.6348621404331176
180,2,2010,Orange,1.9920975746299578
181,2,2010,Placer,1.0981936125257992
182,2,2010,Riverside,1.1843990944167417
183,2,2010,Sacramento,0.5594522985340111
184,2,2010,San Benito,0.8400601033332414
185,2,2010,San Bernardino,1.5684442266577823
186,2,2010,San Diego,1.8549219973042903
187,2,2010,San Joaquin,0.8043479652051817
188,2,2010,Santa Barbara,1.6376037527671021
189,2,2010,Shasta,2.105878010811195
190,2,2010,Tulare,1.8934280603583795
191,2,2010,Ventura,1.4681739808134158
192,2,2011,Butte,1.8516791399696098
193,2,2011,Del Norte,1.1427923761700594
194,2,2011,Fresno,1.0056198562343377
195,2,2011,Glenn,3.621003593604953
196,2,2011,Humboldt,1.096143642330226
197,2,2011,Imperial,2.864027983423577
198,2,2011,Inyo,1.059232404054075
199,2,2011,Kern,1.027394669360131
200,2,2011,Lake,2.8439789802400024
201,2,2011,Los Angeles,1.233960557138717
202,2,2011,Madera,1.6247031041026627
203,2,2011,Marin,3.496849630285981
204,2,2011,Mariposa,4.293297810778193
205,2,2011,Orange,3.684117408639314
206,2,2011,Placer,2.2401076804842153
207,2,2011,Riverside,2.055749301537885
208,2,2011,Sacramento,1.2085853956179036
209,2,2011,San Benito,2.4127107334309863
210,2,2011,San Bernardino,3.98763803733339
211,2,2011,San Diego,2.4572941186148403
212,2,2011,San Joaquin,1.8423815157487482
213,2,2011,Santa Barbara,2.3387808683707734
214,2,2011,Santa Clara,2.587009622857776
215,2,2011,Shasta,4.008663195891536
216,2,2011,Tulare,1.6995241948941247
217,2,2011,Ventura,1.6433665597269793
218,2,2012,Butte,1.8791951204341126
219,2,2012,Del Norte,1.0850600080068562
220,2,2012,Fresno,1.2786718119187965
221,2,2012,Glenn,3.419709091668043
222,2,2012,Humboldt,1.3144078413396774
223,2,2012,Imperial,2.3405941723737915
224,2,2012,Inyo,0.726722927118105
225,2,2012,Kern,2.0555185216420018
226,2,2012,Lake,2.0945447739332317
227,2,2012,Los Angeles,1.0006037874158813
228,2,2012,Madera,1.4409615362816968
229,2,2012,Marin,3.0267703765587335
230,2,2012,Mariposa,3.627632854409641
231,2,2012,Orange,2.1469641289515566
232,2,2012,Placer,2.3881947830221657
233,2,2012,Riverside,1.4013345327509061
234,2,2012,Sacramento,1.8109322369998542
235,2,2012,San Benito,2.2916224763355553
236,2,2012,San Bernardino,1.7409710862408425
237,2,2012,San Diego,2.145620243476053
238,2,2012,San Joaquin,2.266294224374695
239,2,2012,Santa Barbara,1.9811714381327998
240,2,2012,Santa Clara,1.2335756536848308
241,2,2012,Shasta,3.504044467488322
242,2,2012,Tulare,1.8014278954480922
243,2,2012,Ventura,1.6357571892724485
244,2,2013,Butte,2.273616737663774
245,2,2013,Del Norte,0.9425797434780311
246,2,2013,Fresno,1.1097493304487627
247,2,2013,Glenn,2.762535671859972
248,2,2013,Humboldt,0.8724826393511248
249,2,2013,Imperial,2.1689312565122
250,2,2013,Inyo,0.6230859384559526
251,2,2013,Kern,1.2195757476339122
252,2,2013,Lake,1.9646248505921704
253,2,2013,Los Angeles,1.1283795217493882
254,2,2013,Madera,1.1317371417597972
255,2,2013,Marin,2.309318328617666
256,2,2013,Mariposa,3.711795856189306
257,2,2013,Orange,2.4065411979421736
258,2,2013,Riverside,1.448664068214993
259,2,2013,Sacramento,1.198599859821337
260,2,2013,San Benito,1.9729031378473894
261,2,2013,San Bernardino,1.9033069908441074
262,2,2013,San Diego,2.447395249734496
263,2,2013,San Joaquin,1.7424156313487815
264,2,2013,Santa Barbara,2.1499282326003404
265,2,2013,Santa Clara,0.8408596802778627
266,2,2013,Shasta,2.504989346422201
267,2,2013,Tulare,1.8616526512502296
268,2,2013,Ventura,1.8522663516820022
269,2,2014,Del Norte,1.1891676644709916
270,2,2014,Fresno,1.142657759499941
271,2,2014,Humboldt,1.3409202072813005
272,2,2014,Inyo,1.0196852276408481
273,2,2014,Kern,1.203106879351049
274,2,2014,Lake,1.5753105755310712
275,2,2014,Los Angeles,1.2852682933230228
276,2,2014,Madera,1.3423918895245608
277,2,2014,Mariposa,3.843283222990015
278,2,2014,Orange,1.7054712013116364
279,2,2014,Riverside,1.2683454216526133
280,2,2014,Sacramento,1.5189717845753465
281,2,2014,San Benito,2.7164496126283497
282,2,2014,San Bernardino,1.8101820750639985
283,2,2014,San Diego,2.419209579600906
284,2,2014,Santa Barbara,2.8759734709891247
285,2,2014,Santa Clara,1.1601284053806582
286,2,2014,Shasta,2.5959398160140235
287,2,2014,Tulare,1.8413321633587736
288,2,2014,Ventura,1.4446207417676455
289,2,2015,Fresno,1.7016622173607105
290,2,2015,Humboldt,2.4320334242821025
291,2,2015,Inyo,0.930184894179933
292,2,2015,Kern,2.1902538473967446
293,2,2015,Lake,2.4196066930816698
294,2,2015,Los Angeles,1.3373545172145351
295,2,2015,Madera,1.507429494888579
