,Month,Year,County,Arithmetic_Mean_ppb
0,1,2010,Alameda,0.9294531426808773
1,1,2010,Amador,1.7487041851729468
2,1,2010,Butte,1.9123562674248706
3,1,2010,Calaveras,2.0241984416688807
4,1,2010,Colusa,1.7993352822523696
5,1,2010,Contra Costa,1.3685664185050348
6,1,2010,El Dorado,1.8011603471985347
7,1,2010,Fresno,0.6493824464370692
8,1,2010,Glenn,2.063536385150534
9,1,2010,Humboldt,2.6397520552758986
10,1,2010,Imperial,0.4638575176129895
11,1,2010,Inyo,0.8398874074200996
12,1,2010,Kern,0.6670249538934743
13,1,2010,Kings,1.6086250989392146
14,1,2010,Lake,1.9985965310314278
15,1,2010,Los Angeles,0.3621131108814169
16,1,2010,Madera,1.6447739364775487
17,1,2010,Marin,1.9516662416545438
18,1,2010,Mariposa,0.741100762567262
19,1,2010,Mendocino,1.751187067748278
20,1,2010,Merced,1.7793116108656284
21,1,2010,Monterey,0.925785181401435
22,1,2010,Napa,1.705440893780163
23,1,2010,Nevada,1.2891451023234541
24,1,2010,Orange,0.6880596212350417
25,1,2010,Placer,1.0350034710086726
26,1,2010,Riverside,0.5703077410586808
27,1,2010,Sacramento,0.7850443169171375
28,1,2010,San Benito,1.309498901389085
29,1,2010,San Bernardino,0.6421647079244842
30,1,2010,San Diego,0.5223083839092242
31,1,2010,San Francisco,2.265533947323839
32,1,2010,San Joaquin,1.3819608179854113
33,1,2010,San Luis Obispo,0.732959853343085
34,1,2010,San Mateo,2.1637968794496105
35,1,2010,Santa Barbara,0.49989407052139545
36,1,2010,Santa Clara,1.4326139106591231
37,1,2010,Santa Cruz,1.9571074022818948
38,1,2010,Shasta,1.5769109699897597
39,1,2010,Siskiyou,1.2977504246923872
40,1,2010,Solano,1.1950918907210581
41,1,2010,Sonoma,1.974664369952019
42,1,2010,Stanislaus,1.3362329799562587
43,1,2010,Sutter,1.6077656934184574
44,1,2010,Tehama,2.136717100870293
45,1,2010,Tulare,1.2097710968787685
46,1,2010,Tuolumne,1.8819670203396917
47,1,2010,Ventura,0.5980794960333369
48,1,2010,Yolo,1.2789237413371763
49,1,2011,Alameda,0.7168852280331295
50,1,2011,Amador,1.0537556112666076
51,1,2011,Butte,1.6418666103810544
52,1,2011,Calaveras,1.0317516495996037
53,1,2011,Colusa,1.0209622916967436
54,1,2011,Contra Costa,0.561030553400715
55,1,2011,El Dorado,1.4947617374786564
56,1,2011,Fresno,0.4981298367524346
57,1,2011,Glenn,1.1371667789144504
58,1,2011,Humboldt,1.4053517675988658
59,1,2011,Imperial,0.51769121207777
60,1,2011,Inyo,0.7687243504230452
61,1,2011,Kern,0.5889802370613673
62,1,2011,Kings,0.7090863114076749
63,1,2011,Lake,1.014741406240518
64,1,2011,Los Angeles,0.4290124788451715
65,1,2011,Madera,0.8762635796318436
66,1,2011,Marin,0.7582484325363205
67,1,2011,Mariposa,1.1005387387870245
68,1,2011,Mendocino,0.897735061245939
69,1,2011,Merced,1.1924823363851988
70,1,2011,Monterey,0.6444231609272374
71,1,2011,Napa,1.105634890515947
72,1,2011,Nevada,1.299424374642329
73,1,2011,Orange,0.6630396055129643
74,1,2011,Placer,0.7665993107848
75,1,2011,Riverside,0.4614259767971596
76,1,2011,Sacramento,0.3681610970496775
77,1,2011,San Benito,0.7679696471823304
78,1,2011,San Bernardino,0.6402683014685029
79,1,2011,San Diego,0.4600945248435419
80,1,2011,San Francisco,1.228935059927608
81,1,2011,San Joaquin,0.8910375988652807
82,1,2011,San Luis Obispo,0.5811989725404715
83,1,2011,San Mateo,1.2032951602031694
84,1,2011,Santa Barbara,0.47462622280683747
85,1,2011,Santa Clara,0.696902783403052
86,1,2011,Santa Cruz,1.0804643537024194
87,1,2011,Shasta,1.284607037919521
88,1,2011,Siskiyou,0.8002452120291945
89,1,2011,Solano,0.7348016020107899
90,1,2011,Sonoma,0.993873887359387
91,1,2011,Stanislaus,0.7827421585103996
92,1,2011,Sutter,0.86930037471932
93,1,2011,Tehama,1.2112270115807218
94,1,2011,Tulare,1.1797117690947907
95,1,2011,Tuolumne,1.3554258527807426
96,1,2011,Ventura,0.6200436966754534
97,1,2011,Yolo,0.6382514722512882
98,1,2012,Alameda,0.7342553554037061
99,1,2012,Amador,0.8477521913914576
100,1,2012,Butte,1.523304911683864
101,1,2012,Calaveras,1.1464418478233045
102,1,2012,Colusa,0.925332445401468
103,1,2012,Contra Costa,0.5927565095600389
104,1,2012,El Dorado,1.3601323909260965
105,1,2012,Fresno,0.4203673430185696
106,1,2012,Glenn,1.048284879152546
107,1,2012,Humboldt,1.0113474193961054
108,1,2012,Imperial,0.6674702668017773
109,1,2012,Inyo,0.8640783191690413
110,1,2012,Kern,0.5976286131636954
111,1,2012,Kings,0.7511094229678421
112,1,2012,Lake,0.8871370444818477
113,1,2012,Los Angeles,0.4161293810204451
114,1,2012,Madera,0.8180422760426617
115,1,2012,Marin,1.0536661739397124
116,1,2012,Mariposa,0.934137869672362
117,1,2012,Mendocino,0.9101928534787338
118,1,2012,Merced,1.1826311757777195
119,1,2012,Monterey,0.6420254039480379
120,1,2012,Napa,1.0962797486047222
121,1,2012,Nevada,1.1963036502727538
122,1,2012,Orange,0.7132165786346839
123,1,2012,Placer,0.6432369739295651
124,1,2012,Riverside,0.5058005595731604
125,1,2012,Sacramento,0.4897172102077489
126,1,2012,San Benito,0.7062788283982795
127,1,2012,San Bernardino,0.6367987717508413
128,1,2012,San Diego,0.44087000765372286
129,1,2012,San Francisco,1.3624676267176496
130,1,2012,San Joaquin,1.3106105721554266
131,1,2012,San Luis Obispo,0.5300943224811786
132,1,2012,San Mateo,1.280838120345697
133,1,2012,Santa Barbara,0.4361655451409903
134,1,2012,Santa Clara,0.758078066284248
135,1,2012,Santa Cruz,1.0630187104974407
136,1,2012,Shasta,1.0386136644174802
137,1,2012,Siskiyou,0.8356218429274003
138,1,2012,Solano,0.7812543420871813
139,1,2012,Sonoma,0.8937534934803748
140,1,2012,Stanislaus,0.6836366942454682
141,1,2012,Sutter,1.2751157962828061
142,1,2012,Tehama,1.0502081500899882
143,1,2012,Tulare,0.9168718146664389
144,1,2012,Tuolumne,1.036547906667372
145,1,2012,Ventura,0.5897346143206441
146,1,2012,Yolo,0.7428462940527552
