,Month,Year,County,Temp_Celsius
0,1,2010,Amador,7.165549118773946
1,1,2010,Butte,8.274798223593963
2,1,2010,Calaveras,8.40277775985663
3,1,2010,Colusa,8.612429851851854
4,1,2010,Del Norte,9.581839910394267
5,1,2010,El Dorado,4.159083649425288
6,1,2010,Fresno,8.926690198412699
7,1,2010,Glenn,8.540070249042147
8,1,2010,Imperial,14.496542390390394
9,1,2010,Inyo,5.043231393786737
10,1,2010,Kern,9.300714342694338
11,1,2010,Kings,8.437126666666666
12,1,2010,Lake,6.402597439393943
13,1,2010,Los Angeles,12.876204395313685
14,1,2010,Madera,8.650686971326163
15,1,2010,Marin,9.989225949820788
16,1,2010,Mariposa,4.006029296296296
17,1,2010,Merced,8.455459789272032
18,1,2010,Mono,-2.663620230961299
19,1,2010,Monterey,10.66107042735043
20,1,2010,Orange,13.863843369763206
21,1,2010,Placer,9.114164037037035
22,1,2010,Riverside,12.439003375365498
23,1,2010,Sacramento,9.872697336507933
24,1,2010,San Benito,9.340163934426227
25,1,2010,San Bernardino,9.366092339671894
26,1,2010,San Diego,13.440818063427804
27,1,2010,San Joaquin,8.791839678362575
28,1,2010,San Luis Obispo,9.963648592938734
29,1,2010,Santa Barbara,12.337034315302143
30,1,2010,Santa Cruz,10.643943742690059
31,1,2010,Shasta,0.5590472222222226
32,1,2010,Stanislaus,9.425730476190477
33,1,2010,Sutter,10.265006398467433
34,1,2010,Tulare,7.2576453168044095
35,1,2010,Tuolumne,7.569444444444445
36,1,2010,Ventura,13.145491715116284
37,1,2010,Yolo,8.780588591269844
38,1,2011,Amador,6.05241396825397
39,1,2011,Butte,7.847925989278753
40,1,2011,Calaveras,6.1772486507936515
41,1,2011,Colusa,7.445690918803416
42,1,2011,Del Norte,7.8741612592592585
43,1,2011,El Dorado,4.143518521657251
44,1,2011,Fresno,7.5430504703703685
45,1,2011,Glenn,7.595164650205761
46,1,2011,Humboldt,6.835305770609319
47,1,2011,Imperial,14.183878670309664
48,1,2011,Inyo,5.802523100233101
49,1,2011,Kern,7.825130599778879
50,1,2011,Kings,7.164982394636014
51,1,2011,Lake,6.088709677419354
52,1,2011,Los Angeles,13.056761706093187
53,1,2011,Madera,7.273602592592594
54,1,2011,Marin,9.827541469534049
55,1,2011,Mariposa,4.607126353046596
56,1,2011,Merced,6.62201424074074
57,1,2011,Mono,-2.957205555555556
58,1,2011,Monterey,10.43917777777778
59,1,2011,Placer,7.871990324074075
60,1,2011,Riverside,12.911852499999997
61,1,2011,Sacramento,8.100748822975522
62,1,2011,San Benito,9.351309590163936
63,1,2011,San Bernardino,8.162786480429292
64,1,2011,San Diego,13.613657325268822
65,1,2011,San Joaquin,7.279699594771239
66,1,2011,San Luis Obispo,9.721611229200215
67,1,2011,Santa Barbara,12.68147378876679
68,1,2011,Santa Clara,10.178016729390682
69,1,2011,Santa Cruz,10.331413490740742
70,1,2011,Shasta,1.3160842114695341
71,1,2011,Stanislaus,7.605709833333335
72,1,2011,Sutter,8.07253087037037
73,1,2011,Tulare,6.633591787603932
74,1,2011,Tuolumne,5.977623499999999
75,1,2011,Ventura,13.60878656589147
76,1,2011,Yolo,9.009773662551439
77,1,2012,Amador,5.750000000000002
