,Month,Year,County,Temp_Celsius,Temp_Levels
108,1,2012,Santa Clara,10.02291901433692,Moderate
109,1,2012,Santa Cruz,9.301075268817206,Moderate
110,1,2012,Shasta,0.6641123946360152,Moderate
111,1,2012,Stanislaus,8.620688503584232,Moderate
112,1,2012,Sutter,9.496001685185183,Moderate
113,1,2012,Tulare,8.61660317616959,Moderate
114,1,2012,Tuolumne,7.296296296296296,Moderate
115,1,2012,Ventura,14.411323106332137,Moderate
116,1,2012,Yolo,8.268070501792115,Moderate
117,1,2013,Butte,7.29302830882353,Moderate
118,1,2013,Calaveras,5.605240166666666,Moderate
119,1,2013,Del Norte,5.949074086021505,Moderate
120,1,2013,El Dorado,2.5358796388888885,Moderate
121,1,2013,Fresno,7.159758765096619,Moderate
122,1,2013,Glenn,6.70922940860215,Moderate
123,1,2013,Humboldt,4.874551971326165,Moderate
124,1,2013,Imperial,11.82897526998962,Moderate
125,1,2013,Inyo,5.471159062589723,Moderate
126,1,2013,Kern,7.671683787654325,Moderate
127,1,2013,Kings,7.565104832735961,Moderate
128,1,2013,Lake,5.003138728813557,Moderate
129,1,2013,Los Angeles,11.838583506571082,Moderate
130,1,2013,Madera,6.934051326164873,Moderate
131,1,2013,Marin,9.48626046594982,Moderate
132,1,2013,Mariposa,4.027006157407406,Moderate
133,1,2013,Merced,6.459080053763441,Moderate
134,1,2013,Mono,-5.7896399137931045,Low_Temp
135,1,2013,Monterey,8.552337096774195,Moderate
136,1,2013,Orange,12.503098844086026,Moderate
137,1,2013,Riverside,11.476439348390452,Moderate
138,1,2013,Sacramento,7.615118490143367,Moderate
139,1,2013,San Benito,6.9472735428051,Moderate
140,1,2013,San Bernardino,7.444935869746146,Moderate
141,1,2013,San Diego,11.956103853874886,Moderate
142,1,2013,San Joaquin,7.6971326344086,Moderate
143,1,2013,San Luis Obispo,7.716058017429192,Moderate
144,1,2013,Santa Barbara,10.736945791749841,Moderate
145,1,2013,Santa Clara,8.600089880952382,Moderate
146,1,2013,Santa Cruz,8.33408004480287,Moderate
147,1,2013,Shasta,-1.4526198275862068,Low_Temp
148,1,2013,Stanislaus,6.7109980370370375,Moderate
149,1,2013,Tulare,6.6002923765432095,Moderate
150,1,2013,Tuolumne,5.707561740740741,Moderate
151,1,2013,Ventura,12.26800384359902,Moderate
152,1,2014,Del Norte,8.430140055555535,Moderate
153,1,2014,Fresno,10.544443032535275,Moderate
154,1,2014,Humboldt,6.883213853046575,Moderate
155,1,2014,Imperial,15.225561893667848,Moderate
156,1,2014,Inyo,8.735158860398831,Moderate
157,1,2014,Kern,11.003102923497252,Moderate
158,1,2014,Kings,10.265967503052487,Moderate
159,1,2014,Lake,8.505156585365837,Moderate
160,1,2014,Los Angeles,15.027572837729798,Moderate
161,1,2014,Madera,10.632444709876523,Moderate
162,1,2014,Mariposa,8.933306444444414,Moderate
163,1,2014,Merced,9.86096179211468,Moderate
164,1,2014,Mono,0.3800154351851743,Moderate
165,1,2014,Monterey,12.022535615292696,Moderate
166,1,2014,Orange,15.767924372759843,Moderate
167,1,2014,Riverside,15.446120243428899,Moderate
168,1,2014,Sacramento,11.18860746415768,Moderate
169,1,2014,San Benito,11.215651146953387,Moderate
170,1,2014,San Bernardino,11.918015478292842,Moderate
171,1,2014,San Diego,15.323271241565438,Moderate
172,1,2014,San Joaquin,11.14807347670249,Moderate
173,1,2014,San Luis Obispo,11.722733290043276,Moderate
174,1,2014,Santa Barbara,14.790544698067611,Moderate
175,1,2014,Santa Clara,11.326396018518503,Moderate
176,1,2014,Santa Cruz,10.719583864994009,Moderate
177,1,2014,Shasta,3.413978512544786,Moderate
178,1,2014,Stanislaus,9.917232562723989,Moderate
179,1,2014,Tulare,11.261912411477391,Moderate
180,1,2014,Ventura,16.061802240240226,Moderate
181,1,2015,Fresno,8.892740696248179,Moderate
182,1,2015,Humboldt,8.459997365591379,Moderate
183,1,2015,Imperial,14.026035430107498,Moderate
184,1,2015,Inyo,8.233922133389713,Moderate
185,1,2015,Kern,9.13419039460018,Moderate
186,1,2015,Kings,8.596072007168441,Moderate
187,1,2015,Lake,8.518015265700454,Moderate
188,1,2015,Los Angeles,14.370241318199898,Moderate
189,1,2015,Madera,8.275305743727577,Moderate
190,1,2015,Mariposa,8.424382722222207,Moderate
191,1,2015,Merced,8.084677419354822,Moderate
192,1,2015,Mono,1.2032283064515994,Moderate
193,1,2015,Monterey,11.29106929510153,Moderate
194,1,2015,Orange,15.93150137395458,Moderate
195,1,2015,Riverside,14.19505776560121,Moderate
196,1,2015,Sacramento,9.97951114272807,Moderate
197,1,2015,San Benito,9.613899937275965,Moderate
198,1,2015,San Bernardino,11.143649091567122,Moderate
199,1,2015,San Diego,14.856782263374468,Moderate
200,1,2015,San Joaquin,8.977211111111087,Moderate
201,1,2015,San Luis Obispo,10.619099473493081,Moderate
202,1,2015,Santa Barbara,13.899100316555847,Moderate
203,1,2015,Santa Clara,10.480294247311804,Moderate
204,1,2015,Santa Cruz,10.071122311827935,Moderate
205,1,2015,Shasta,3.0921445698924623,Moderate
206,1,2015,Stanislaus,8.663793122605345,Moderate
207,1,2015,Tulare,9.1949355253623,Moderate
208,1,2015,Ventura,14.707536836917546,Moderate
209,1,2016,Amador,7.7524934999999875,Moderate
210,1,2016,Butte,9.20621262962962,Moderate
211,1,2016,Calaveras,8.392249103942644,Moderate
212,1,2016,Colusa,9.61386218637992,Moderate
213,1,2016,Fresno,10.027305899324723,Moderate
214,1,2016,Glenn,9.572435250896053,Moderate
215,1,2016,Imperial,12.870926230585404,Moderate
216,1,2016,Inyo,5.409375693181802,Moderate
217,1,2016,Kern,9.743789554398136,Moderate
218,1,2016,Kings,9.604166685185168,Moderate
219,1,2016,Lake,5.58947954022986,Moderate
220,1,2016,Los Angeles,12.543350365497055,Moderate
221,1,2016,Madera,9.685550846994515,Moderate
222,1,2016,Mariposa,3.4001834979423737,Moderate
223,1,2016,Merced,9.67069896057346,Moderate
224,1,2016,Mono,-1.0991512500000116,Low_Temp
225,1,2016,Monterey,11.822670635802446,Moderate
226,1,2016,Orange,13.876534806763265,Moderate
227,1,2016,Riverside,12.220237706823646,Moderate
228,1,2016,Sacramento,10.483320279279267,Moderate
229,1,2016,San Benito,10.09612365348397,Moderate
230,1,2016,San Bernardino,9.649795323429268,Moderate
231,1,2016,San Diego,13.073957549976726,Moderate
232,1,2016,San Joaquin,10.181492746212104,Moderate
233,1,2016,San Luis Obispo,9.989037933122676,Moderate
234,1,2016,Santa Barbara,12.436328803418792,Moderate
235,1,2016,Santa Clara,11.952164226190463,Moderate
236,1,2016,Santa Cruz,9.262282530864185,Moderate
237,1,2016,Shasta,-1.2324014814814934,Low_Temp
238,1,2016,Stanislaus,11.283366362007154,Moderate
239,1,2016,Sutter,9.971251487455183,Moderate
240,1,2016,Tulare,9.155811384180772,Moderate
241,1,2016,Ventura,12.18079222520906,Moderate
242,1,2016,Yolo,9.730775483870955,Moderate
243,2,2010,Amador,8.766915961538462,Moderate
244,2,2010,Butte,9.912968658810323,Moderate
245,2,2010,Calaveras,9.988888888888889,Moderate
246,2,2010,Colusa,11.023103035714284,Moderate
247,2,2010,Del Norte,9.712409424603177,Moderate
248,2,2010,El Dorado,5.164930575396828,Moderate
249,2,2010,Fresno,10.987137662551435,Moderate
250,2,2010,Glenn,10.628951172839507,Moderate
251,2,2010,Humboldt,9.246379795321639,Moderate
252,2,2010,Imperial,16.06493963783403,Moderate
253,2,2010,Inyo,7.299556513409966,Moderate
254,2,2010,Kern,11.491588596250569,Moderate
255,2,2010,Kings,10.764475158730159,Moderate
256,2,2010,Lake,7.139398567787969,Moderate
257,2,2010,Los Angeles,12.931455382854775,Moderate
258,2,2010,Madera,10.760459465020578,Moderate
259,2,2010,Marin,10.557232301587304,Moderate
260,2,2010,Mariposa,4.416174350104821,Moderate
261,2,2010,Merced,10.476190535714284,Moderate
262,2,2010,Mono,-0.9027777777777776,Low_Temp
263,2,2010,Monterey,10.936632566137567,Moderate
264,2,2010,Orange,13.857060188492067,Moderate
265,2,2010,Placer,11.348556625514403,Moderate
266,2,2010,Riverside,13.072486157240276,Moderate
267,2,2010,Sacramento,11.412348727709196,Moderate
268,2,2010,San Benito,10.075039484848487,Moderate
269,2,2010,San Bernardino,10.402181399999993,Moderate
270,2,2010,San Diego,13.219024511709014,Moderate
271,2,2010,San Joaquin,11.405466677148846,Moderate
272,2,2010,San Luis Obispo,9.837015309941526,Moderate
273,2,2010,Santa Barbara,12.08192997431737,Moderate
274,2,2010,Santa Cruz,10.820608222222226,Moderate
275,2,2010,Shasta,0.046173888888888466,Moderate
276,2,2010,Stanislaus,11.953347542735044,Moderate
277,2,2010,Sutter,11.759259238683129,Moderate
278,2,2010,Tulare,8.259342113187957,Moderate
279,2,2010,Tuolumne,8.06841561728395,Moderate
280,2,2010,Ventura,12.409952174796752,Moderate
281,2,2010,Yolo,10.92675265873016,Moderate
282,2,2011,Amador,5.900753683127571,Moderate
283,2,2011,Butte,8.676888520352035,Moderate
284,2,2011,Calaveras,4.6973594032921815,Moderate
285,2,2011,Colusa,8.772321408730159,Moderate
286,2,2011,Del Norte,6.598936913580247,Moderate
287,2,2011,El Dorado,3.063700257201645,Moderate
288,2,2011,Fresno,9.472988837301585,Moderate
289,2,2011,Glenn,9.183955912698412,Moderate
290,2,2011,Humboldt,5.772792029914531,Moderate
291,2,2011,Imperial,14.176379186868687,Moderate
